datetime,J [mm/hr],Q [mm/hr],Storage [mm],Cl_obs [umol/L],D_obs [per mil],Cl_inj [umol/L],D_inj [per mil],L [mm/hr]
2014-09-07 15:00:00,0.0,7.133600000000021,390.3193549333334,122.4942,-59.0,13.699999999999996,-58.75,390.3193549333334
2014-09-07 15:15:00,0.0,6.527553684210527,388.3693487333334,,,13.699999999999996,-58.75,388.3693487333334
2014-09-07 15:30:00,0.0,5.940454736842094,386.60898740000005,,,13.699999999999996,-58.75,386.60898740000005
2014-09-07 15:45:00,0.0,5.561936842105263,384.9620114,,,13.699999999999996,-58.75,384.9620114
2014-09-07 16:00:00,0.0,5.271840000000002,383.4412496666667,119.3768,-58.129869,13.699999999999996,-58.75,383.4412496666667
2014-09-07 16:15:00,0.0,5.0560336842105285,382.08055426666664,,,13.699999999999996,-58.75,382.08055426666664
2014-09-07 16:30:00,0.0,4.871056842105263,380.8380170666667,,,13.699999999999996,-58.75,380.8380170666667
2014-09-07 16:45:00,0.0,4.686079999999999,379.6084333333334,,,13.699999999999996,-58.75,379.6084333333334
2014-09-07 17:00:00,0.0,4.531932631578946,378.48970919999994,113.0867,-58.335518,13.699999999999996,-58.75,378.48970919999994
2014-09-07 17:15:00,0.0,4.377785263157895,377.45711486666664,,,13.699999999999996,-58.75,377.45711486666664
2014-09-07 17:30:00,0.0,4.2544673684210546,376.519988,,,13.699999999999996,-58.75,376.519988
2014-09-07 17:45:00,0.0,4.161978947368423,375.54391353333335,,,13.699999999999996,-58.75,375.54391353333335
2014-09-07 18:00:00,0.0,4.007831578947371,374.4064965333333,108.3811,-59.0,13.699999999999996,-58.75,374.4064965333333
2014-09-07 18:15:00,0.0,3.9153431578947395,373.3474364666666,,,13.699999999999996,-58.75,373.3474364666666
2014-09-07 18:30:00,0.0,3.8228547368421086,372.35758433333336,,,13.699999999999996,-58.75,372.35758433333336
2014-09-07 18:45:00,0.0,3.3295831578947364,371.39282639999993,,,13.699999999999996,-58.75,371.39282639999993
2014-09-07 19:00:00,0.0,3.1446063157894724,370.4790276,104.1987,-57.597387,13.699999999999996,-58.75,370.4790276
2014-09-07 19:15:00,0.0,2.9596294736842097,369.62089853333333,,,13.699999999999996,-58.75,369.62089853333333
2014-09-07 19:30:00,0.0,2.9287999999999994,368.7862594666666,,,13.699999999999996,-58.75,368.7862594666666
2014-09-07 19:45:00,0.0,2.8363115789473685,367.9650798666667,,,13.699999999999996,-58.75,367.9650798666667
2014-09-07 20:00:00,0.0,2.743823157894737,367.1684026000001,98.9354,-58.17322,13.699999999999996,-58.75,367.1684026000001
2014-09-07 20:15:00,0.0,2.6821642105263166,366.41293513333335,,,13.699999999999996,-58.75,366.41293513333335
2014-09-07 20:30:00,0.0,2.6821642105263166,365.69774773333336,,,13.699999999999996,-58.75,365.69774773333336
2014-09-07 20:45:00,0.0,2.528016842105265,365.0040449333333,,,13.699999999999996,-58.75,365.0040449333333
2014-09-07 21:00:00,31.429258464245272,2.558846315789475,369.01368806666665,99.4747,-58.264805,13.699999999999996,-58.75,369.01368806666665
2014-09-07 21:15:00,27.74777072798508,2.6821642105263166,375.57919699999997,,,13.699999999999996,-58.75,375.57919699999997
2014-09-07 21:30:00,26.476410127288062,3.021288421052631,381.7405024,,,13.699999999999996,-58.75,381.7405024
2014-09-07 21:45:00,26.196320251228673,4.439444210526317,387.5433685333333,,,13.699999999999996,-58.75,387.5433685333333
2014-09-07 22:00:00,25.87844620652828,6.97464421052632,392.760101,125.4757,-57.86695,13.699999999999996,-58.75,392.760101
2014-09-07 22:15:00,25.516601419681002,9.24328421052631,397.3269726666667,,,13.699999999999996,-58.75,397.3269726666667
2014-09-07 22:30:00,13.394646395914734,10.671663157894733,399.79812240000007,,,13.699999999999996,-58.75,399.79812240000007
2014-09-07 22:45:00,12.56118726376461,10.639199999999995,400.45199313333336,,,13.699999999999996,-58.75,400.45199313333336
2014-09-07 23:00:00,12.768854740988747,10.769052631578942,401.1295726,502.6382,-59.553411,13.699999999999996,-58.75,401.1295726
2014-09-07 23:15:00,12.487434093480573,10.931368421052621,401.7484403333334,,,13.699999999999996,-58.75,401.7484403333334
2014-09-07 23:30:00,12.507756329313983,11.126147368421043,402.30104406666663,,,13.699999999999996,-58.75,402.30104406666663
2014-09-07 23:45:00,12.348965415402654,11.288463157894741,402.77735313333335,,,13.699999999999996,-58.75,402.77735313333335
2014-09-08 00:00:00,12.365233471149063,11.515705263157916,403.1938992666666,865.902,-59.813243,13.699999999999996,-58.75,403.1938992666666
2014-09-08 00:15:00,12.198418439766476,11.580631578947395,403.5713049333333,,,13.699999999999996,-58.75,403.5713049333333
2014-09-08 00:30:00,12.237829545610492,11.80787368421055,403.86473533333333,,,13.699999999999996,-58.75,403.86473533333333
2014-09-08 00:45:00,12.136555337250861,11.840336842105286,404.15208993333334,,,13.699999999999996,-58.75,404.15208993333334
2014-09-08 01:00:00,12.235877484223382,11.937726315789497,404.4084336666666,1397.776,-59.1,13.699999999999996,-58.75,404.4084336666666
